snapshot_id,snapshot_date,store_id,product_id,qty_on_hand,qty_reserved,qty_on_order,reorder_point
INV0000051,2025-12-06,STOR0041,PROD00196,722,31,162,95
INV0000052,2025-12-22,STOR0040,PROD00397,785,33,39,48
INV0000053,2025-12-18,STOR0006,PROD00346,537,4,68,81
INV0000054,2025-12-03,STOR0008,PROD00205,797,18,86,48
INV0000055,2025-12-14,STOR0006,PROD00333,192,26,24,91
INV0000056,2025-12-10,STOR0020,PROD00053,705,29,15,16
INV0000057,2025-12-05,STOR0015,PROD00090,706,16,45,37
INV0000058,2026-01-01,STOR0022,PROD00139,242,26,141,39
INV0000059,2025-12-15,STOR0017,PROD00322,665,35,70,113
INV0000060,2025-12-13,STOR0021,PROD00485,385,8,164,77
INV0000061,2025-12-12,STOR0026,PROD00146,367,12,131,118
INV0000062,2025-12-15,STOR0029,PROD00361,169,31,126,70
INV0000063,2025-12-03,STOR0023,PROD00210,442,18,30,101
INV0000064,2025-12-28,STOR0024,PROD00235,415,4,35,63
INV0000065,2025-12-09,STOR0027,PROD00451,721,2,74,53
INV0000066,2025-12-12,STOR0027,PROD00025,570,30,61,94
INV0000067,2025-12-27,STOR0060,PROD00283,323,47,145,55
INV0000068,2025-12-13,STOR0002,PROD00375,433,43,39,52
INV0000069,2025-12-19,STOR0016,PROD00135,420,36,146,38
INV0000070,2025-12-16,STOR0044,PROD00104,500,10,3,89
INV0000071,2025-12-04,STOR0031,PROD00132,514,24,137,87
INV0000072,2025-12-11,STOR0034,PROD00339,653,19,114,82
INV0000073,2025-12-15,STOR0006,PROD00459,66,34,152,72
INV0000074,2025-12-29,STOR0052,PROD00045,164,48,159,62
INV0000075,2025-12-21,STOR0051,PROD00014,170,25,16,85
INV0000076,2025-12-14,STOR0044,PROD00051,329,33,159,43
INV0000077,2025-12-02,STOR0057,PROD00478,339,0,69,29
INV0000078,2025-12-08,STOR0058,PROD00283,283,34,27,53
INV0000079,2025-12-19,STOR0011,PROD00251,30,15,131,105
INV0000080,2025-12-17,STOR0002,PROD00161,697,2,20,92
INV0000081,2026-01-01,STOR0005,PROD00332,658,16,7,57
INV0000082,2025-12-08,STOR0038,PROD00463,238,4,177,90
INV0000083,2025-12-02,STOR0017,PROD00140,362,11,14,21
INV0000084,2025-12-30,STOR0056,PROD00273,469,11,126,12
INV0000085,2025-12-09,STOR0032,PROD00197,724,44,85,118
INV0000086,2025-12-03,STOR0019,PROD00255,165,0,125,94
INV0000087,2025-12-21,STOR0006,PROD00061,425,20,154,117
INV0000088,2025-12-09,STOR0050,PROD00190,54,23,56,31
INV0000089,2025-12-03,STOR0048,PROD00322,788,34,191,84
INV0000090,2025-12-09,STOR0037,PROD00111,110,11,95,105
INV0000091,2025-12-16,STOR0035,PROD00237,692,50,5,14
INV0000092,2025-12-23,STOR0043,PROD00286,101,12,104,33
INV0000093,2025-12-03,STOR0015,PROD00383,649,33,0,61
INV0000094,2025-12-30,STOR0055,PROD00091,142,31,92,20
INV0000095,2025-12-02,STOR0038,PROD00424,100,28,165,40
INV0000096,2025-12-05,STOR0026,PROD00252,286,2,1,33
INV0000097,2026-01-01,STOR0013,PROD00215,545,1,48,90
INV0000098,2025-12-10,STOR0015,PROD00097,497,50,175,78
INV0000099,2025-12-05,STOR0041,PROD00126,216,20,199,119
INV0000100,2025-12-07,STOR0047,PROD00328,689,5,28,116
INV0000101,2025-12-14,STOR0017,PROD00014,500,34,38,60
INV0000102,2025-12-27,STOR0027,PROD00389,228,50,72,51
INV0000103,2025-12-05,STOR0030,PROD00076,163,50,27,43
INV0000104,2025-12-08,STOR0012,PROD00151,734,13,165,34
INV0000105,2025-12-20,STOR0002,PROD00029,296,16,92,56
INV0000106,2025-12-23,STOR0053,PROD00031,206,33,108,93
INV0000107,2025-12-20,STOR0015,PROD00155,755,11,125,38
INV0000108,2025-12-18,STOR0030,PROD00241,309,8,85,83
INV0000109,2025-12-24,STOR0050,PROD00444,772,44,45,26
INV0000110,2025-12-06,STOR0050,PROD00380,624,22,7,57
INV0000111,2025-12-21,STOR0038,PROD00004,65,0,10,32
INV0000112,2025-12-09,STOR0056,PROD00168,328,30,74,46
INV0000113,2025-12-21,STOR0011,PROD00279,722,43,178,52
INV0000114,2025-12-10,STOR0050,PROD00355,379,37,121,106
INV0000115,2025-12-06,STOR0017,PROD00213,597,34,26,22
INV0000116,2025-12-21,STOR0016,PROD00226,779,3,109,88
INV0000117,2025-12-12,STOR0051,PROD00069,230,39,11,36
INV0000118,2025-12-20,STOR0049,PROD00096,444,3,91,96
INV0000119,2025-12-28,STOR0013,PROD00372,459,11,185,68
INV0000120,2025-12-28,STOR0002,PROD00303,320,28,88,71
INV0000121,2025-12-02,STOR0008,PROD00347,598,34,47,19
INV0000122,2025-12-10,STOR0042,PROD00083,218,2,123,72
INV0000123,2025-12-14,STOR0047,PROD00148,716,45,144,80
INV0000124,2025-12-06,STOR0013,PROD00456,506,46,125,106
INV0000125,2025-12-26,STOR0011,PROD00490,546,23,147,63
INV0000126,2025-12-13,STOR0047,PROD00097,220,2,24,114
INV0000127,2025-12-14,STOR0027,PROD00305,72,9,35,14
INV0000128,2025-12-12,STOR0055,PROD00209,767,13,6,116
INV0000129,2025-12-06,STOR0009,PROD00112,208,5,184,18
INV0000130,2025-12-16,STOR0043,PROD00443,119,23,59,31
INV0000131,2025-12-09,STOR0031,PROD00348,693,8,88,56
INV0000132,2025-12-22,STOR0017,PROD00264,747,48,26,110
INV0000133,2025-12-18,STOR0002,PROD00226,463,40,22,51
INV0000134,2025-12-31,STOR0006,PROD00062,759,23,157,34
INV0000135,2025-12-16,STOR0058,PROD00285,573,5,0,73
INV0000136,2025-12-06,STOR0038,PROD00054,106,0,43,119
INV0000137,2025-12-08,STOR0040,PROD00010,99,45,122,45
INV0000138,2025-12-07,STOR0015,PROD00188,590,5,92,106
INV0000139,2025-12-29,STOR0022,PROD00428,501,25,54,61
INV0000140,2025-12-22,STOR0034,PROD00281,423,26,29,89
INV0000141,2025-12-24,STOR0053,PROD00494,40,10,29,116
INV0000142,2025-12-23,STOR0055,PROD00447,774,33,191,99
INV0000143,2025-12-28,STOR0008,PROD00419,491,21,33,13
INV0000144,2026-01-01,STOR0048,PROD00467,613,7,123,18
INV0000145,2025-12-07,STOR0019,PROD00355,188,20,182,114
INV0000146,2025-12-26,STOR0013,PROD00171,651,1,37,82
INV0000147,2025-12-05,STOR0060,PROD00207,777,48,111,26
INV0000148,2026-01-01,STOR0048,PROD00145,570,0,74,105
INV0000149,2025-12-14,STOR0008,PROD00468,1,1,161,24
INV0000150,2025-12-02,STOR0037,PROD00433,373,2,158,54
INV0000151,2025-12-17,STOR0054,PROD00119,786,8,20,110
INV0000152,2025-12-31,STOR0051,PROD00469,652,48,158,105
INV0000153,2025-12-23,STOR0050,PROD00417,313,10,129,109
INV0000154,2025-12-07,STOR0030,PROD00099,180,0,186,76
INV0000155,2025-12-02,STOR0031,PROD00367,300,44,37,18
INV0000156,2025-12-18,STOR0057,PROD00377,790,1,102,89
INV0000157,2025-12-03,STOR0044,PROD00016,461,37,170,83
INV0000158,2025-12-22,STOR0008,PROD00397,691,12,184,46
INV0000159,2025-12-29,STOR0058,PROD00181,456,11,147,13
INV0000160,2025-12-23,STOR0052,PROD00382,124,25,190,27
INV0000161,2025-12-21,STOR0001,PROD00006,597,38,17,56
INV0000162,2025-12-28,STOR0059,PROD00238,31,7,45,101
INV0000163,2025-12-26,STOR0015,PROD00014,253,22,102,101
INV0000164,2025-12-19,STOR0018,PROD00355,23,8,157,116
INV0000165,2025-12-25,STOR0035,PROD00242,767,17,181,50
INV0000166,2025-12-15,STOR0041,PROD00196,13,7,63,56
INV0000167,2025-12-02,STOR0055,PROD00011,201,38,173,49
INV0000168,2025-12-10,STOR0060,PROD00052,649,47,86,40
INV0000169,2025-12-09,STOR0056,PROD00098,71,2,146,74
INV0000170,2025-12-11,STOR0045,PROD00422,669,32,54,79
INV0000171,2025-12-25,STOR0035,PROD00279,774,43,190,110
INV0000172,2025-12-30,STOR0014,PROD00437,534,7,182,92
INV0000173,2025-12-30,STOR0032,PROD00026,541,12,32,51
INV0000174,2025-12-30,STOR0044,PROD00403,419,29,70,82
INV0000175,2025-12-11,STOR0044,PROD00429,615,49,123,54
INV0000176,2025-12-08,STOR0032,PROD00340,322,10,194,32
INV0000177,2025-12-19,STOR0060,PROD00025,346,11,38,21
INV0000178,2025-12-06,STOR0021,PROD00473,567,30,190,58
INV0000179,2025-12-24,STOR0006,PROD00328,555,43,158,14
INV0000180,2025-12-24,STOR0030,PROD00272,125,38,65,83
INV0000181,2025-12-22,STOR0036,PROD00091,514,7,127,80
INV0000182,2025-12-22,STOR0006,PROD00230,68,36,75,120
INV0000183,2025-12-30,STOR0058,PROD00367,142,3,90,114
INV0000184,2025-12-25,STOR0004,PROD00145,407,11,127,61
INV0000185,2025-12-19,STOR0037,PROD00068,545,37,189,17
INV0000186,2025-12-25,STOR0033,PROD00026,778,48,51,113
INV0000187,2025-12-18,STOR0004,PROD00020,31,16,70,30
INV0000188,2025-12-21,STOR0060,PROD00092,132,34,132,50
INV0000189,2025-12-10,STOR0005,PROD00359,212,35,154,92
INV0000190,2025-12-06,STOR0017,PROD00050,571,21,113,97
INV0000191,2025-12-26,STOR0001,PROD00204,37,6,151,12
INV0000192,2026-01-01,STOR0002,PROD00070,542,50,100,10
INV0000193,2025-12-07,STOR0045,PROD00457,232,16,122,11
INV0000194,2025-12-07,STOR0007,PROD00292,373,17,124,63
INV0000195,2025-12-19,STOR0011,PROD00471,596,32,190,26
INV0000196,2025-12-04,STOR0032,PROD00149,111,50,152,88
INV0000197,2025-12-08,STOR0017,PROD00360,41,9,99,118
INV0000198,2025-12-25,STOR0007,PROD00444,218,12,175,73
INV0000199,2026-01-01,STOR0029,PROD00121,507,46,155,58
INV0000200,2025-12-27,STOR0005,PROD00036,704,22,154,77
INV0000201,2025-12-05,STOR0008,PROD00414,695,49,150,109
INV0000202,2025-12-05,STOR0060,PROD00500,686,14,85,40
INV0000203,2025-12-21,STOR0018,PROD00160,243,18,169,45
INV0000204,2025-12-20,STOR0054,PROD00276,305,1,69,70
INV0000205,2025-12-17,STOR0019,PROD00128,86,38,12,39
INV0000206,2025-12-25,STOR0060,PROD00428,455,15,138,32
INV0000207,2025-12-17,STOR0033,PROD00394,587,10,188,26
INV0000208,2025-12-20,STOR0035,PROD00313,669,5,58,100
INV0000209,2025-12-12,STOR0015,PROD00391,719,30,176,44
INV0000210,2025-12-11,STOR0056,PROD00492,414,14,105,117
INV0000211,2025-12-24,STOR0034,PROD00348,699,3,91,69
INV0000212,2025-12-08,STOR0038,PROD00007,622,23,21,106
INV0000213,2025-12-27,STOR0048,PROD00049,790,41,50,77
INV0000214,2025-12-15,STOR0017,PROD00418,81,10,77,75
INV0000215,2025-12-31,STOR0028,PROD00356,228,22,147,68
INV0000216,2025-12-13,STOR0013,PROD00107,577,41,52,117
INV0000217,2025-12-28,STOR0029,PROD00412,492,41,16,100
INV0000218,2025-12-30,STOR0043,PROD00451,326,27,38,18
INV0000219,2025-12-18,STOR0026,PROD00350,204,39,121,43
INV0000220,2025-12-04,STOR0033,PROD00168,404,40,59,65
INV0000221,2025-12-20,STOR0038,PROD00426,504,3,130,106
INV0000222,2025-12-05,STOR0005,PROD00149,596,31,15,89
INV0000223,2025-12-12,STOR0017,PROD00036,233,33,135,58
INV0000224,2025-12-08,STOR0052,PROD00309,194,20,163,73
INV0000225,2026-01-01,STOR0011,PROD00457,680,4,79,112
INV0000226,2025-12-23,STOR0004,PROD00226,485,45,190,114
INV0000227,2025-12-02,STOR0006,PROD00376,407,25,25,106
INV0000228,2025-12-18,STOR0057,PROD00136,426,33,52,19
INV0000229,2025-12-23,STOR0006,PROD00499,388,14,122,108
INV0000230,2025-12-02,STOR0042,PROD00460,238,10,51,87
INV0000231,2025-12-12,STOR0001,PROD00231,238,11,98,33
INV0000232,2025-12-10,STOR0009,PROD00107,226,36,165,108
INV0000233,2025-12-20,STOR0013,PROD00297,319,11,84,23
INV0000234,2025-12-04,STOR0034,PROD00284,759,33,7,54
INV0000235,2025-12-12,STOR0021,PROD00033,572,38,37,11
INV0000236,2025-12-08,STOR0059,PROD00226,711,32,183,66
INV0000237,2025-12-28,STOR0015,PROD00282,149,18,22,112
INV0000238,2025-12-08,STOR0018,PROD00187,474,4,119,33
INV0000239,2025-12-03,STOR0044,PROD00473,181,5,94,56
INV0000240,2025-12-30,STOR0059,PROD00149,391,21,97,71
INV0000241,2025-12-29,STOR0058,PROD00461,777,45,124,95
INV0000242,2025-12-20,STOR0049,PROD00500,340,32,102,12
INV0000243,2025-12-14,STOR0059,PROD00291,649,42,52,13
INV0000244,2025-12-25,STOR0013,PROD00280,57,30,35,29
INV0000245,2025-12-09,STOR0053,PROD00379,744,3,45,78
INV0000246,2025-12-11,STOR0019,PROD00078,13,0,11,24
INV0000247,2025-12-13,STOR0024,PROD00354,719,14,159,52
INV0000248,2026-01-01,STOR0022,PROD00092,450,43,168,18
INV0000249,2025-12-13,STOR0053,PROD00141,607,40,192,52
INV0000250,2025-12-16,STOR0052,PROD00036,285,27,193,108
INV0000251,2026-01-01,STOR0052,PROD00280,34,30,129,76
INV0000252,2025-12-13,STOR0047,PROD00228,397,5,114,35
INV0000253,2025-12-11,STOR0005,PROD00498,722,11,41,16
INV0000254,2025-12-17,STOR0016,PROD00245,46,45,193,102
INV0000255,2025-12-25,STOR0005,PROD00174,518,2,192,60
INV0000256,2026-01-01,STOR0030,PROD00475,502,34,195,54
INV0000257,2025-12-29,STOR0019,PROD00424,457,16,9,86
INV0000258,2025-12-07,STOR0025,PROD00465,770,17,72,36
INV0000259,2025-12-03,STOR0011,PROD00195,214,38,96,101
INV0000260,2025-12-25,STOR0042,PROD00426,229,36,66,61
INV0000261,2025-12-13,STOR0004,PROD00069,34,6,117,115
INV0000262,2025-12-31,STOR0055,PROD00238,708,39,13,107
INV0000263,2025-12-23,STOR0040,PROD00400,38,33,126,62
INV0000264,2025-12-09,STOR0033,PROD00396,452,7,121,109
INV0000265,2025-12-22,STOR0007,PROD00150,495,38,97,64
INV0000266,2025-12-27,STOR0038,PROD00421,390,26,29,79
INV0000267,2025-12-13,STOR0055,PROD00384,485,19,149,113
INV0000268,2025-12-08,STOR0055,PROD00344,300,41,54,109
INV0000269,2025-12-22,STOR0013,PROD00209,253,47,104,38
INV0000270,2025-12-05,STOR0033,PROD00249,519,18,173,115
INV0000271,2025-12-10,STOR0041,PROD00307,243,32,167,102
INV0000272,2025-12-29,STOR0024,PROD00340,346,8,18,72
INV0000273,2025-12-02,STOR0001,PROD00422,401,41,145,90
INV0000274,2025-12-14,STOR0015,PROD00028,189,48,13,110
INV0000275,2025-12-14,STOR0009,PROD00363,326,15,150,98
INV0000276,2025-12-31,STOR0040,PROD00036,182,48,148,25
INV0000277,2025-12-21,STOR0054,PROD00432,261,28,107,90
INV0000278,2025-12-29,STOR0025,PROD00172,262,21,61,78
INV0000279,2025-12-30,STOR0009,PROD00440,225,48,92,102
INV0000280,2025-12-31,STOR0044,PROD00436,271,40,101,90
INV0000281,2025-12-29,STOR0049,PROD00085,612,47,48,19
INV0000282,2025-12-15,STOR0012,PROD00480,240,47,190,94
INV0000283,2025-12-30,STOR0007,PROD00147,691,40,171,93
INV0000284,2025-12-23,STOR0037,PROD00496,680,41,60,18
INV0000285,2025-12-27,STOR0036,PROD00328,414,1,157,76
INV0000286,2025-12-21,STOR0031,PROD00212,634,4,24,51
INV0000287,2025-12-18,STOR0012,PROD00177,628,32,51,16
INV0000288,2025-12-23,STOR0023,PROD00291,517,42,111,34
INV0000289,2025-12-24,STOR0050,PROD00155,222,36,19,52
INV0000290,2025-12-14,STOR0015,PROD00407,259,27,24,111
INV0000291,2025-12-23,STOR0010,PROD00165,541,49,139,33
INV0000292,2025-12-17,STOR0044,PROD00039,333,46,43,80
INV0000293,2025-12-08,STOR0045,PROD00378,424,37,112,20
INV0000294,2025-12-22,STOR0036,PROD00170,597,3,77,91
INV0000295,2025-12-09,STOR0055,PROD00369,154,26,89,90
INV0000296,2025-12-15,STOR0056,PROD00145,489,43,144,15
INV0000297,2025-12-15,STOR0014,PROD00450,662,26,80,84
INV0000298,2025-12-30,STOR0002,PROD00361,18,0,45,77
INV0000299,2025-12-28,STOR0026,PROD00462,107,8,48,38
INV0000300,2025-12-23,STOR0035,PROD00348,537,14,138,63
INV0000301,2025-12-15,STOR0007,PROD00246,609,47,70,88
INV0000302,2025-12-02,STOR0054,PROD00182,313,34,51,26
INV0000303,2025-12-17,STOR0046,PROD00100,275,39,117,40
INV0000304,2025-12-19,STOR0058,PROD00379,764,9,1,86
INV0000305,2026-01-01,STOR0049,PROD00138,47,3,29,115
INV0000306,2025-12-11,STOR0010,PROD00343,269,14,81,113
INV0000307,2025-12-28,STOR0057,PROD00135,438,24,95,33
INV0000308,2025-12-19,STOR0026,PROD00279,271,17,163,107
INV0000309,2025-12-20,STOR0033,PROD00474,384,40,14,42
INV0000310,2025-12-13,STOR0034,PROD00139,470,27,125,74
INV0000311,2025-12-14,STOR0019,PROD00398,571,47,76,112
INV0000312,2025-12-28,STOR0018,PROD00123,739,23,186,92
INV0000313,2025-12-29,STOR0001,PROD00311,647,31,167,104
INV0000314,2025-12-29,STOR0049,PROD00452,149,22,133,119
INV0000315,2025-12-29,STOR0022,PROD00103,314,27,27,69
INV0000316,2025-12-09,STOR0011,PROD00421,195,47,32,46
INV0000317,2025-12-23,STOR0013,PROD00178,581,11,89,29
INV0000318,2025-12-27,STOR0035,PROD00030,126,21,68,11
INV0000319,2025-12-23,STOR0050,PROD00217,143,29,161,54
INV0000320,2025-12-04,STOR0030,PROD00405,587,40,67,66
INV0000321,2025-12-08,STOR0049,PROD00276,295,40,86,100
INV0000322,2025-12-24,STOR0024,PROD00330,224,34,7,78
INV0000323,2025-12-27,STOR0035,PROD00278,62,23,24,96
INV0000324,2025-12-30,STOR0057,PROD00125,341,31,188,60
INV0000325,2025-12-20,STOR0023,PROD00054,737,34,193,118
INV0000326,2025-12-30,STOR0003,PROD00391,597,24,157,69
INV0000327,2025-12-08,STOR0021,PROD00216,726,37,171,26
INV0000328,2025-12-31,STOR0033,PROD00227,190,30,105,79
INV0000329,2025-12-24,STOR0004,PROD00053,339,17,145,108
INV0000330,2025-12-05,STOR0023,PROD00342,755,43,3,30
INV0000331,2025-12-18,STOR0039,PROD00383,661,2,126,102
INV0000332,2025-12-30,STOR0006,PROD00209,108,47,25,112
INV0000333,2025-12-17,STOR0052,PROD00088,46,13,30,88
INV0000334,2025-12-15,STOR0019,PROD00450,455,40,134,83
INV0000335,2025-12-20,STOR0057,PROD00485,75,30,168,114
INV0000336,2025-12-23,STOR0007,PROD00188,353,22,22,15
INV0000337,2025-12-27,STOR0001,PROD00219,386,42,155,25
INV0000338,2025-12-09,STOR0056,PROD00251,143,12,119,114
INV0000339,2025-12-02,STOR0052,PROD00348,424,27,66,58
INV0000340,2025-12-17,STOR0020,PROD00431,494,49,13,91
INV0000341,2025-12-07,STOR0036,PROD00499,508,32,1,29
INV0000342,2025-12-03,STOR0026,PROD00385,478,43,130,110
INV0000343,2025-12-05,STOR0037,PROD00293,473,5,8,93
INV0000344,2025-12-28,STOR0058,PROD00490,275,2,55,25
INV0000345,2025-12-17,STOR0044,PROD00020,724,10,43,79
INV0000346,2025-12-19,STOR0058,PROD00294,215,34,54,77
INV0000347,2025-12-06,STOR0019,PROD00321,325,14,137,57
INV0000348,2025-12-24,STOR0039,PROD00306,385,24,138,114
INV0000349,2025-12-14,STOR0028,PROD00046,538,16,87,34
INV0000350,2025-12-03,STOR0050,PROD00382,702,19,90,72
INV0000351,2025-12-10,STOR0019,PROD00089,466,16,175,54
INV0000352,2025-12-14,STOR0005,PROD00249,32,4,154,116
INV0000353,2025-12-07,STOR0057,PROD00493,106,14,30,77
INV0000354,2025-12-05,STOR0056,PROD00010,460,44,91,44
INV0000355,2025-12-08,STOR0011,PROD00078,541,36,114,71
INV0000356,2025-12-18,STOR0045,PROD00265,571,36,191,79
INV0000357,2026-01-01,STOR0014,PROD00389,15,7,174,93
INV0000358,2025-12-20,STOR0037,PROD00317,533,23,145,103
INV0000359,2025-12-23,STOR0055,PROD00260,355,15,89,40
INV0000360,2025-12-30,STOR0013,PROD00136,67,0,112,65
INV0000361,2025-12-28,STOR0002,PROD00463,740,37,134,44
INV0000362,2025-12-21,STOR0012,PROD00266,199,28,194,37
INV0000363,2025-12-02,STOR0054,PROD00126,702,16,177,99
INV0000364,2025-12-29,STOR0015,PROD00347,214,1,47,115
INV0000365,2025-12-31,STOR0059,PROD00274,42,25,29,59
INV0000366,2025-12-11,STOR0056,PROD00354,780,43,92,14
INV0000367,2025-12-04,STOR0058,PROD00215,523,10,116,55
INV0000368,2025-12-20,STOR0034,PROD00003,783,33,20,102
INV0000369,2025-12-11,STOR0014,PROD00402,678,14,74,42
INV0000370,2025-12-19,STOR0052,PROD00477,82,29,181,47
INV0000371,2025-12-15,STOR0042,PROD00214,548,43,119,27
INV0000372,2025-12-03,STOR0015,PROD00086,277,8,45,54
INV0000373,2025-12-28,STOR0014,PROD00351,690,45,2,38
INV0000374,2025-12-04,STOR0004,PROD00481,364,13,119,46
INV0000375,2025-12-07,STOR0011,PROD00473,380,50,15,12
INV0000376,2025-12-27,STOR0044,PROD00313,247,0,199,46
INV0000377,2025-12-10,STOR0030,PROD00191,749,21,120,29
INV0000378,2025-12-07,STOR0048,PROD00252,179,50,118,120
INV0000379,2025-12-07,STOR0035,PROD00405,99,49,89,54
INV0000380,2025-12-03,STOR0029,PROD00083,503,46,184,98
INV0000381,2025-12-12,STOR0006,PROD00409,198,33,127,56
INV0000382,2025-12-28,STOR0026,PROD00124,124,24,163,69
INV0000383,2025-12-19,STOR0057,PROD00304,11,4,96,86
INV0000384,2025-12-25,STOR0057,PROD00431,688,18,145,102
INV0000385,2025-12-10,STOR0029,PROD00043,605,28,198,67
INV0000386,2025-12-04,STOR0012,PROD00030,786,20,60,93
INV0000387,2025-12-08,STOR0022,PROD00201,192,4,59,54
INV0000388,2025-12-30,STOR0028,PROD00491,455,47,163,117
INV0000389,2025-12-15,STOR0002,PROD00356,29,0,198,117
INV0000390,2025-12-18,STOR0040,PROD00338,536,31,169,110
INV0000391,2025-12-29,STOR0013,PROD00170,306,2,44,58
INV0000392,2025-12-04,STOR0043,PROD00365,184,25,102,113
INV0000393,2025-12-22,STOR0054,PROD00492,678,28,135,57
INV0000394,2025-12-31,STOR0002,PROD00443,60,10,162,44
INV0000395,2025-12-07,STOR0037,PROD00234,271,37,81,79
INV0000396,2026-01-01,STOR0054,PROD00105,699,0,36,95
INV0000397,2025-12-11,STOR0058,PROD00287,72,43,199,40
INV0000398,2026-01-01,STOR0030,PROD00331,30,27,131,64
INV0000399,2025-12-12,STOR0019,PROD00257,362,49,30,56
INV0000400,2025-12-15,STOR0055,PROD00184,597,44,14,34
INV0000401,2025-12-23,STOR0046,PROD00051,71,47,6,84
INV0000402,2025-12-31,STOR0015,PROD00128,765,20,26,48
INV0000403,2025-12-02,STOR0047,PROD00114,728,1,87,10
INV0000404,2025-12-22,STOR0060,PROD00198,642,46,116,32
INV0000405,2025-12-30,STOR0057,PROD00460,460,10,147,39
INV0000406,2025-12-05,STOR0002,PROD00055,80,26,139,34
INV0000407,2025-12-31,STOR0054,PROD00264,471,0,8,117
INV0000408,2025-12-04,STOR0025,PROD00285,255,50,73,58
INV0000409,2025-12-26,STOR0060,PROD00367,138,38,53,87
INV0000410,2025-12-14,STOR0022,PROD00480,374,39,34,109
INV0000411,2025-12-10,STOR0053,PROD00404,651,14,19,95
INV0000412,2025-12-10,STOR0042,PROD00049,66,36,180,52
INV0000413,2025-12-08,STOR0009,PROD00214,444,23,177,17
INV0000414,2025-12-15,STOR0005,PROD00340,514,1,34,84
INV0000415,2025-12-17,STOR0042,PROD00042,209,36,121,86
INV0000416,2025-12-03,STOR0023,PROD00362,517,11,167,27
INV0000417,2025-12-13,STOR0047,PROD00305,430,28,70,100
INV0000418,2025-12-22,STOR0040,PROD00310,417,42,152,51
INV0000419,2025-12-08,STOR0004,PROD00126,130,27,126,23
INV0000420,2025-12-22,STOR0043,PROD00372,257,43,83,113
INV0000421,2025-12-18,STOR0036,PROD00315,477,13,110,39
