return_id,order_id,product_id,qty_returned,return_reason,return_status,refund_amount,returned_ts
RET000085,ORD0004745,PROD00500,1,CHANGE_OF_MIND,APPROVED,825.87,2025-11-29 19:01:00
RET000086,ORD0003926,PROD00077,1,SIZE_ISSUE,PENDING,460.01,2025-12-24 06:58:00
RET000087,ORD0002642,PROD00031,3,LATE_DELIVERY,APPROVED,592.58,2025-11-19 16:55:00
RET000088,ORD0001249,PROD00478,2,CHANGE_OF_MIND,APPROVED,177.83,2025-06-27 22:49:00
RET000089,ORD0003735,PROD00145,1,LATE_DELIVERY,APPROVED,249.13,2025-10-22 03:43:00
RET000090,ORD0000835,PROD00499,2,SIZE_ISSUE,APPROVED,527.02,2025-12-28 03:28:00
RET000091,ORD0000113,PROD00353,1,LATE_DELIVERY,APPROVED,471.56,2025-12-14 15:30:00
RET000092,ORD0003362,PROD00419,3,DAMAGED_IN_TRANSIT,REJECTED,387.23,2025-12-29 13:06:00
RET000093,ORD0004899,PROD00312,2,WRONG_ITEM,APPROVED,131.32,2025-07-06 01:00:00
RET000094,ORD0001946,PROD00124,3,FAULTY,APPROVED,447.28,2025-11-03 04:27:00
RET000095,ORD0004925,PROD00430,2,WRONG_ITEM,PENDING,6.41,2025-11-18 19:54:00
RET000096,ORD0003378,PROD00208,2,CHANGE_OF_MIND,APPROVED,724.36,2025-11-07 13:43:00
RET000097,ORD0001029,PROD00460,1,CHANGE_OF_MIND,PENDING,721.52,2025-09-03 15:00:00
RET000098,ORD0001486,PROD00065,2,FAULTY,APPROVED,493.29,2025-10-25 00:09:00
RET000099,ORD0004869,PROD00025,1,SIZE_ISSUE,APPROVED,396.9,2025-12-16 15:27:00
RET000100,ORD0002123,PROD00235,1,FAULTY,REJECTED,653.71,2025-08-10 14:24:00
RET000101,ORD0004431,PROD00282,3,CHANGE_OF_MIND,REJECTED,250.74,2025-12-03 17:45:00
RET000102,ORD0004036,PROD00017,3,LATE_DELIVERY,APPROVED,207.25,2025-10-04 11:39:00
RET000103,ORD0002926,PROD00438,2,LATE_DELIVERY,APPROVED,305.93,2025-08-12 03:18:00
RET000104,ORD0000072,PROD00280,1,CHANGE_OF_MIND,APPROVED,846.43,2025-09-11 19:18:00
RET000105,ORD0003390,PROD00409,1,WRONG_ITEM,REJECTED,514.56,2025-07-16 22:02:00
RET000106,ORD0001808,PROD00251,2,SIZE_ISSUE,REJECTED,397.39,2025-06-17 08:30:00
RET000107,ORD0000466,PROD00112,3,CHANGE_OF_MIND,APPROVED,312.21,2025-07-11 05:20:00
RET000108,ORD0003063,PROD00262,3,DAMAGED_IN_TRANSIT,APPROVED,16.77,2025-07-27 13:03:00
RET000109,ORD0002189,PROD00394,2,LATE_DELIVERY,APPROVED,801.11,2025-11-07 01:56:00
RET000110,ORD0000678,PROD00189,1,LATE_DELIVERY,REJECTED,296.94,2025-10-07 07:54:00
RET000111,ORD0002063,PROD00309,2,CHANGE_OF_MIND,REJECTED,851.81,2025-11-29 05:49:00
RET000112,ORD0003905,PROD00440,1,CHANGE_OF_MIND,REJECTED,226.48,2025-12-02 08:35:00
RET000113,ORD0001809,PROD00465,1,WRONG_ITEM,APPROVED,507.78,2025-12-28 05:32:00
RET000114,ORD0004394,PROD00380,3,DAMAGED_IN_TRANSIT,PENDING,74.56,2025-11-01 11:11:00
RET000115,ORD0001477,PROD00333,3,SIZE_ISSUE,PENDING,781.61,2025-09-07 15:10:00
RET000116,ORD0000520,PROD00110,2,DAMAGED_IN_TRANSIT,PENDING,361.06,2025-10-05 07:23:00
RET000117,ORD0003008,PROD00036,2,DAMAGED_IN_TRANSIT,PENDING,119.38,2025-06-18 03:53:00
RET000118,ORD0003782,PROD00202,1,WRONG_ITEM,APPROVED,630.04,2025-09-29 23:52:00
RET000119,ORD0003494,PROD00270,1,FAULTY,APPROVED,651.79,2025-09-24 18:25:00
RET000120,ORD0003393,PROD00498,1,CHANGE_OF_MIND,APPROVED,707.05,2025-07-11 23:52:00
RET000121,ORD0001501,PROD00486,3,DAMAGED_IN_TRANSIT,APPROVED,237.7,2025-12-05 20:32:00
RET000122,ORD0000370,PROD00354,3,LATE_DELIVERY,APPROVED,754.14,2025-10-30 09:35:00
RET000123,ORD0000168,PROD00282,2,LATE_DELIVERY,APPROVED,243.5,2025-07-26 02:41:00
RET000124,ORD0002141,PROD00415,2,FAULTY,APPROVED,209.94,2025-09-27 07:58:00
RET000125,ORD0000493,PROD00282,1,WRONG_ITEM,PENDING,56.05,2025-06-17 02:35:00
RET000126,ORD0001516,PROD00387,1,DAMAGED_IN_TRANSIT,PENDING,349.83,2025-10-02 01:20:00
RET000127,ORD0003158,PROD00030,1,CHANGE_OF_MIND,APPROVED,884.95,2025-06-20 12:59:00
RET000128,ORD0002447,PROD00166,2,DAMAGED_IN_TRANSIT,APPROVED,370.32,2025-12-07 14:04:00
RET000129,ORD0001757,PROD00214,1,FAULTY,APPROVED,188.32,2025-07-30 17:09:00
RET000130,ORD0003760,PROD00157,3,SIZE_ISSUE,PENDING,714.01,2025-10-28 20:59:00
RET000131,ORD0004072,PROD00288,2,DAMAGED_IN_TRANSIT,PENDING,694.47,2025-12-04 20:37:00
RET000132,ORD0001618,PROD00499,1,WRONG_ITEM,REJECTED,855.2,2025-10-21 17:03:00
RET000133,ORD0001397,PROD00346,3,DAMAGED_IN_TRANSIT,APPROVED,806.9,2025-12-24 17:43:00
RET000134,ORD0002208,PROD00060,3,CHANGE_OF_MIND,REJECTED,419.99,2025-06-27 20:15:00
RET000135,ORD0001381,PROD00279,3,FAULTY,PENDING,208.91,2025-12-05 05:43:00
RET000136,ORD0002388,PROD00466,2,CHANGE_OF_MIND,APPROVED,532.23,2025-11-27 14:00:00
RET000137,ORD0000646,PROD00080,1,FAULTY,PENDING,147.99,2025-11-22 08:49:00
RET000138,ORD0004220,PROD00354,1,FAULTY,APPROVED,679.66,2025-12-24 18:41:00
RET000139,ORD0000682,PROD00079,2,WRONG_ITEM,APPROVED,266.92,2025-12-10 04:24:00
RET000140,ORD0004384,PROD00440,3,WRONG_ITEM,PENDING,321.04,2025-10-22 09:25:00
RET000141,ORD0001886,PROD00457,3,CHANGE_OF_MIND,APPROVED,220.52,2025-06-19 23:56:00
RET000142,ORD0003476,PROD00337,2,CHANGE_OF_MIND,PENDING,324.84,2025-10-06 12:24:00
RET000143,ORD0002991,PROD00150,1,CHANGE_OF_MIND,REJECTED,400.77,2025-07-01 23:31:00
RET000144,ORD0000020,PROD00376,2,FAULTY,PENDING,66.61,2025-12-20 01:46:00
RET000145,ORD0001765,PROD00072,1,FAULTY,APPROVED,629.14,2025-09-07 00:17:00
RET000146,ORD0004967,PROD00407,2,FAULTY,PENDING,596.81,2025-11-01 05:14:00
RET000147,ORD0000715,PROD00369,3,SIZE_ISSUE,APPROVED,248.54,2025-08-26 00:33:00
RET000148,ORD0003525,PROD00159,1,DAMAGED_IN_TRANSIT,APPROVED,689.29,2025-12-07 16:53:00
RET000149,ORD0003852,PROD00112,3,SIZE_ISSUE,PENDING,845.3,2025-09-22 11:15:00
RET000150,ORD0000227,PROD00335,1,WRONG_ITEM,PENDING,777.77,2025-11-04 16:59:00
RET000151,ORD0003829,PROD00200,1,SIZE_ISSUE,APPROVED,692.67,2025-09-16 09:59:00
RET000152,ORD0004444,PROD00089,3,LATE_DELIVERY,REJECTED,823.01,2025-08-25 15:12:00
RET000153,ORD0000437,PROD00376,1,FAULTY,PENDING,201.0,2025-12-03 16:44:00
RET000154,ORD0002990,PROD00016,2,LATE_DELIVERY,APPROVED,456.33,2025-12-18 07:55:00
RET000155,ORD0004362,PROD00420,3,WRONG_ITEM,APPROVED,186.21,2025-11-21 04:47:00
RET000156,ORD0001134,PROD00122,2,DAMAGED_IN_TRANSIT,APPROVED,293.69,2025-10-25 02:25:00
RET000157,ORD0002460,PROD00300,3,FAULTY,PENDING,586.15,2025-07-20 09:37:00
RET000158,ORD0003879,PROD00256,2,WRONG_ITEM,PENDING,391.54,2025-06-15 00:42:00
RET000159,ORD0003729,PROD00189,1,WRONG_ITEM,APPROVED,676.06,2025-06-15 21:00:00
RET000160,ORD0000902,PROD00303,2,LATE_DELIVERY,APPROVED,412.62,2025-11-23 06:02:00
RET000161,ORD0003272,PROD00062,2,CHANGE_OF_MIND,APPROVED,322.89,2025-10-23 16:36:00
RET000162,ORD0004289,PROD00054,3,FAULTY,REJECTED,542.49,2025-08-13 20:58:00
RET000163,ORD0003305,PROD00112,2,LATE_DELIVERY,APPROVED,780.57,2025-11-11 23:59:00
RET000164,ORD0003709,PROD00092,3,FAULTY,APPROVED,709.03,2025-12-25 08:07:00
RET000165,ORD0004322,PROD00392,3,FAULTY,PENDING,751.5,2025-09-07 04:29:00
RET000166,ORD0004456,PROD00251,3,DAMAGED_IN_TRANSIT,REJECTED,585.97,2025-07-08 01:18:00
RET000167,ORD0003379,PROD00110,3,DAMAGED_IN_TRANSIT,REJECTED,579.64,2025-07-09 03:48:00
RET000168,ORD0004447,PROD00085,1,LATE_DELIVERY,APPROVED,163.43,2025-08-10 12:00:00
RET000169,ORD0001131,PROD00173,2,FAULTY,PENDING,232.71,2025-07-27 00:54:00
RET000170,ORD0004166,PROD00019,1,FAULTY,APPROVED,414.04,2025-11-21 21:39:00
RET000171,ORD0001420,PROD00451,2,DAMAGED_IN_TRANSIT,APPROVED,786.85,2025-06-18 07:02:00
RET000172,ORD0002200,PROD00371,3,LATE_DELIVERY,APPROVED,817.97,2025-07-21 17:26:00
RET000173,ORD0001561,PROD00449,2,FAULTY,PENDING,493.45,2025-11-24 17:34:00
RET000174,ORD0000919,PROD00316,1,FAULTY,APPROVED,596.59,2025-09-04 01:44:00
RET000175,ORD0001936,PROD00101,2,FAULTY,REJECTED,330.2,2025-12-14 08:57:00
RET000176,ORD0001206,PROD00014,2,WRONG_ITEM,PENDING,889.46,2025-12-23 00:18:00
RET000177,ORD0000589,PROD00372,2,FAULTY,APPROVED,495.07,2026-01-01 22:26:00
RET000178,ORD0000912,PROD00479,1,LATE_DELIVERY,APPROVED,60.14,2025-10-28 12:53:00
RET000179,ORD0002442,PROD00058,2,DAMAGED_IN_TRANSIT,REJECTED,701.7,2025-10-21 01:34:00
RET000180,ORD0001605,PROD00100,1,CHANGE_OF_MIND,APPROVED,279.71,2025-11-10 03:44:00
RET000181,ORD0000676,PROD00391,1,SIZE_ISSUE,APPROVED,514.18,2025-12-29 18:59:00
RET000182,ORD0002268,PROD00346,1,FAULTY,APPROVED,167.07,2025-11-14 11:59:00
RET000183,ORD0004539,PROD00260,2,LATE_DELIVERY,APPROVED,434.72,2025-07-28 23:18:00
RET000184,ORD0000190,PROD00163,3,SIZE_ISSUE,PENDING,743.22,2025-09-15 04:43:00
RET000185,ORD0000333,PROD00176,3,SIZE_ISSUE,APPROVED,881.18,2025-09-18 05:05:00
RET000186,ORD0000931,PROD00149,3,SIZE_ISSUE,APPROVED,366.37,2025-12-27 16:37:00
RET000187,ORD0002126,PROD00268,3,WRONG_ITEM,APPROVED,467.19,2025-10-22 12:16:00
RET000188,ORD0001087,PROD00421,2,DAMAGED_IN_TRANSIT,APPROVED,214.05,2025-10-28 15:48:00
RET000189,ORD0003179,PROD00307,2,WRONG_ITEM,REJECTED,716.22,2025-08-23 15:59:00
RET000190,ORD0001296,PROD00143,3,FAULTY,APPROVED,794.95,2025-09-15 09:38:00
RET000191,ORD0001989,PROD00383,1,LATE_DELIVERY,REJECTED,278.43,2025-11-30 01:16:00
RET000192,ORD0002526,PROD00408,1,WRONG_ITEM,PENDING,746.36,2025-10-10 11:52:00
RET000193,ORD0004602,PROD00328,2,SIZE_ISSUE,APPROVED,171.6,2025-09-30 19:09:00
RET000194,ORD0000436,PROD00105,3,LATE_DELIVERY,APPROVED,753.96,2025-08-17 22:30:00
RET000195,ORD0001082,PROD00004,3,WRONG_ITEM,REJECTED,725.19,2025-08-03 01:23:00
RET000196,ORD0001098,PROD00385,1,SIZE_ISSUE,REJECTED,410.36,2025-12-27 23:48:00
RET000197,ORD0004692,PROD00478,1,SIZE_ISSUE,PENDING,71.15,2025-07-19 06:41:00
RET000198,ORD0002810,PROD00094,2,SIZE_ISSUE,REJECTED,856.63,2025-08-10 21:55:00
RET000199,ORD0003964,PROD00249,3,SIZE_ISSUE,REJECTED,728.07,2025-08-29 02:49:00
RET000200,ORD0002423,PROD00275,1,DAMAGED_IN_TRANSIT,APPROVED,220.94,2025-06-19 23:39:00
RET000201,ORD0000044,PROD00147,3,LATE_DELIVERY,APPROVED,56.48,2025-07-16 00:46:00
RET000202,ORD0004773,PROD00019,1,SIZE_ISSUE,APPROVED,773.3,2025-11-03 21:12:00
RET000203,ORD0004427,PROD00019,2,DAMAGED_IN_TRANSIT,PENDING,88.59,2025-10-18 03:10:00
RET000204,ORD0002759,PROD00194,3,CHANGE_OF_MIND,REJECTED,612.19,2025-12-25 16:33:00
RET000205,ORD0004562,PROD00340,1,DAMAGED_IN_TRANSIT,APPROVED,365.71,2025-11-17 02:59:00
RET000206,ORD0001348,PROD00005,3,LATE_DELIVERY,APPROVED,178.7,2025-10-19 04:49:00
RET000207,ORD0004429,PROD00139,3,CHANGE_OF_MIND,APPROVED,756.03,2025-06-26 06:45:00
RET000208,ORD0003370,PROD00400,3,WRONG_ITEM,APPROVED,801.18,2025-06-28 16:02:00
RET000209,ORD0004958,PROD00237,1,CHANGE_OF_MIND,APPROVED,15.79,2025-10-01 04:53:00
RET000210,ORD0000062,PROD00115,1,WRONG_ITEM,REJECTED,492.96,2025-09-18 00:24:00
RET000211,ORD0003519,PROD00319,3,WRONG_ITEM,APPROVED,728.6,2025-10-31 19:10:00
RET000212,ORD0000342,PROD00272,3,SIZE_ISSUE,REJECTED,214.73,2025-12-21 15:46:00
RET000213,ORD0004316,PROD00410,2,SIZE_ISSUE,APPROVED,632.27,2025-06-19 15:32:00
RET000214,ORD0003711,PROD00499,1,SIZE_ISSUE,APPROVED,205.57,2025-06-22 18:56:00
RET000215,ORD0002889,PROD00475,1,CHANGE_OF_MIND,APPROVED,723.29,2025-10-07 03:44:00
RET000216,ORD0002732,PROD00410,3,CHANGE_OF_MIND,PENDING,545.89,2025-10-25 18:11:00
RET000217,ORD0004597,PROD00397,2,DAMAGED_IN_TRANSIT,APPROVED,175.69,2025-10-31 23:39:00
RET000218,ORD0001418,PROD00398,2,CHANGE_OF_MIND,APPROVED,489.04,2025-09-16 10:44:00
RET000219,ORD0004498,PROD00053,1,WRONG_ITEM,APPROVED,283.19,2025-06-16 03:47:00
RET000220,ORD0003341,PROD00199,1,SIZE_ISSUE,PENDING,764.26,2025-11-04 15:35:00
RET000221,ORD0001024,PROD00369,2,DAMAGED_IN_TRANSIT,APPROVED,499.92,2025-06-26 05:57:00
RET000222,ORD0000374,PROD00390,3,SIZE_ISSUE,REJECTED,558.3,2025-06-19 07:12:00
RET000223,ORD0002166,PROD00330,2,SIZE_ISSUE,APPROVED,784.23,2025-11-20 11:26:00
RET000224,ORD0004796,PROD00165,3,SIZE_ISSUE,PENDING,519.74,2025-08-09 12:27:00
RET000225,ORD0002359,PROD00232,3,FAULTY,PENDING,602.75,2025-07-10 22:49:00
RET000226,ORD0004114,PROD00187,2,DAMAGED_IN_TRANSIT,APPROVED,72.92,2025-10-29 18:45:00
RET000227,ORD0003014,PROD00143,2,WRONG_ITEM,APPROVED,760.3,2025-11-17 22:02:00
RET000228,ORD0003682,PROD00490,2,DAMAGED_IN_TRANSIT,REJECTED,468.56,2025-12-14 06:09:00
RET000229,ORD0002751,PROD00304,2,DAMAGED_IN_TRANSIT,APPROVED,652.64,2025-09-08 01:14:00
RET000230,ORD0004911,PROD00028,2,FAULTY,APPROVED,725.68,2025-07-31 02:36:00
RET000231,ORD0001306,PROD00244,1,WRONG_ITEM,APPROVED,820.76,2025-12-30 08:45:00
RET000232,ORD0003796,PROD00201,1,SIZE_ISSUE,APPROVED,26.02,2025-10-25 16:32:00
RET000233,ORD0000150,PROD00221,3,CHANGE_OF_MIND,PENDING,869.78,2025-09-27 23:28:00
RET000234,ORD0002694,PROD00092,2,DAMAGED_IN_TRANSIT,APPROVED,140.35,2025-07-13 06:41:00
RET000235,ORD0004524,PROD00227,1,WRONG_ITEM,PENDING,463.48,2025-10-01 20:58:00
RET000236,ORD0004463,PROD00152,2,FAULTY,REJECTED,487.82,2025-11-11 11:50:00
RET000237,ORD0003488,PROD00025,3,SIZE_ISSUE,PENDING,500.11,2025-08-03 06:14:00
RET000238,ORD0000834,PROD00064,3,CHANGE_OF_MIND,REJECTED,356.09,2025-12-27 06:28:00
RET000239,ORD0001460,PROD00397,3,LATE_DELIVERY,REJECTED,741.23,2025-07-02 14:16:00
RET000240,ORD0003801,PROD00077,3,CHANGE_OF_MIND,PENDING,848.88,2025-07-08 14:29:00
RET000241,ORD0000209,PROD00231,2,FAULTY,PENDING,90.18,2025-12-20 07:16:00
RET000242,ORD0004924,PROD00119,1,DAMAGED_IN_TRANSIT,REJECTED,207.92,2025-07-17 13:28:00
RET000243,ORD0003530,PROD00110,2,FAULTY,REJECTED,677.99,2025-09-01 15:40:00
RET000244,ORD0003664,PROD00029,1,CHANGE_OF_MIND,PENDING,669.41,2025-07-17 00:58:00
RET000245,ORD0001696,PROD00483,3,FAULTY,APPROVED,571.41,2025-08-31 11:01:00
RET000246,ORD0004057,PROD00105,2,WRONG_ITEM,PENDING,390.61,2025-07-14 13:48:00
RET000247,ORD0002678,PROD00363,3,FAULTY,REJECTED,261.98,2025-12-29 04:16:00
RET000248,ORD0004069,PROD00353,2,CHANGE_OF_MIND,APPROVED,543.25,2025-09-20 16:56:00
RET000249,ORD0004485,PROD00197,2,WRONG_ITEM,APPROVED,164.92,2025-08-28 02:44:00
RET000250,ORD0000405,PROD00463,3,CHANGE_OF_MIND,APPROVED,232.44,2025-12-21 09:07:00
RET000251,ORD0004797,PROD00051,2,DAMAGED_IN_TRANSIT,APPROVED,566.63,2025-06-17 17:42:00
RET000252,ORD0002324,PROD00074,2,LATE_DELIVERY,APPROVED,192.68,2025-11-05 18:01:00
RET000253,ORD0001199,PROD00218,2,LATE_DELIVERY,APPROVED,46.43,2025-10-27 19:46:00
RET000254,ORD0002179,PROD00210,2,WRONG_ITEM,APPROVED,864.67,2025-08-31 00:24:00
RET000255,ORD0003613,PROD00498,1,WRONG_ITEM,PENDING,262.39,2025-11-25 21:45:00
RET000256,ORD0000491,PROD00327,3,CHANGE_OF_MIND,REJECTED,483.17,2025-07-13 15:11:00
RET000257,ORD0000546,PROD00427,2,LATE_DELIVERY,APPROVED,410.23,2025-09-04 02:24:00
