supplier_id,supplier_name,primary_category,city,state,lead_time_days,otif_score_pct,status
SUPP0077,Pacific Distribution Pty Ltd,Home & Garden,Adelaide,SA,23,84.1,ON_HOLD
SUPP0078,Summit Imports Pty Ltd,Apparel,Canberra,ACT,27,92.0,ACTIVE
SUPP0079,National Wholesale Pty Ltd,Sports,Darwin,NT,20,95.8,ON_HOLD
SUPP0080,Pacific Wholesale Pty Ltd,Electronics,Perth,WA,2,97.0,ON_HOLD
SUPP0081,Pacific Imports Pty Ltd,Electronics,Melbourne,VIC,21,88.9,ON_HOLD
SUPP0082,Southern Trading Pty Ltd,Electronics,Newcastle,NSW,25,84.3,ACTIVE
SUPP0083,Summit Imports Pty Ltd,Electronics,Canberra,ACT,19,88.3,ACTIVE
SUPP0084,Pacific Trading Pty Ltd,Grocery,Adelaide,SA,11,85.2,ACTIVE
SUPP0085,Summit Trading Pty Ltd,Apparel,Sydney,NSW,13,80.3,ACTIVE
SUPP0086,Southern Supplies Pty Ltd,Sports,Wollongong,NSW,37,85.4,ACTIVE
SUPP0087,Prime Supplies Pty Ltd,Electronics,Wollongong,NSW,11,84.3,ACTIVE
SUPP0088,National Trading Pty Ltd,Electronics,Gold Coast,QLD,33,88.6,ACTIVE
SUPP0089,Southern Trading Pty Ltd,Sports,Canberra,ACT,4,93.1,ACTIVE
SUPP0090,Metro Supplies Pty Ltd,Home & Garden,Wollongong,NSW,19,80.5,ACTIVE
SUPP0091,Southern Supplies Pty Ltd,Electronics,Perth,WA,43,80.9,ON_HOLD
SUPP0092,Prime Supplies Pty Ltd,Home & Garden,Canberra,ACT,5,85.7,ACTIVE
SUPP0093,Metro Supplies Pty Ltd,Apparel,Newcastle,NSW,36,83.3,ON_HOLD
SUPP0094,Summit Wholesale Pty Ltd,Sports,Hobart,TAS,11,86.4,ON_HOLD
SUPP0095,National Distribution Pty Ltd,Sports,Hobart,TAS,27,87.4,ACTIVE
SUPP0096,Southern Supplies Pty Ltd,Sports,Adelaide,SA,28,87.2,ACTIVE
SUPP0097,Prime Imports Pty Ltd,Home & Garden,Sydney,NSW,23,98.4,ON_HOLD
SUPP0098,National Wholesale Pty Ltd,Home & Garden,Darwin,NT,4,86.8,ON_HOLD
SUPP0099,Prime Imports Pty Ltd,Sports,Brisbane,QLD,42,96.6,ACTIVE
SUPP0100,Southern Distribution Pty Ltd,Apparel,Newcastle,NSW,7,96.4,ACTIVE
SUPP0101,Prime Trading Pty Ltd,Sports,Geelong,VIC,8,91.5,ACTIVE
SUPP0102,Summit Distribution Pty Ltd,Home & Garden,Geelong,VIC,45,94.1,ACTIVE
SUPP0103,Pacific Imports Pty Ltd,Grocery,Darwin,NT,37,98.6,ON_HOLD
SUPP0104,National Distribution Pty Ltd,Sports,Gold Coast,QLD,24,94.9,ON_HOLD
SUPP0105,Southern Supplies Pty Ltd,Home & Garden,Sydney,NSW,14,94.3,ON_HOLD
SUPP0106,National Distribution Pty Ltd,Electronics,Sydney,NSW,21,84.8,ACTIVE
SUPP0107,Southern Wholesale Pty Ltd,Electronics,Adelaide,SA,14,80.5,ACTIVE
SUPP0108,Pacific Distribution Pty Ltd,Home & Garden,Adelaide,SA,45,81.4,ACTIVE
SUPP0109,Pacific Supplies Pty Ltd,Grocery,Darwin,NT,44,88.0,ON_HOLD
SUPP0110,Metro Imports Pty Ltd,Apparel,Newcastle,NSW,25,84.1,ACTIVE
SUPP0111,Prime Supplies Pty Ltd,Sports,Newcastle,NSW,39,80.8,ACTIVE
SUPP0112,National Imports Pty Ltd,Grocery,Melbourne,VIC,3,85.1,ACTIVE
SUPP0113,Prime Trading Pty Ltd,Apparel,Canberra,ACT,39,92.3,ACTIVE
SUPP0114,National Trading Pty Ltd,Apparel,Gold Coast,QLD,4,99.2,ACTIVE
SUPP0115,Metro Wholesale Pty Ltd,Electronics,Darwin,NT,7,84.9,ON_HOLD
SUPP0116,Pacific Supplies Pty Ltd,Apparel,Gold Coast,QLD,23,84.8,ACTIVE
SUPP0117,Metro Imports Pty Ltd,Sports,Melbourne,VIC,30,84.3,ACTIVE
SUPP0118,Pacific Distribution Pty Ltd,Sports,Sydney,NSW,45,95.5,ON_HOLD
SUPP0119,Pacific Wholesale Pty Ltd,Home & Garden,Darwin,NT,31,85.5,ON_HOLD
SUPP0120,Prime Trading Pty Ltd,Grocery,Canberra,ACT,39,82.3,ON_HOLD
