order_line_id,order_id,line_number,product_id,quantity,unit_price,discount_amount,line_total
LINE00000036,ORD0000012,4,PROD00239,4,173.26,0.0,693.04
LINE00000037,ORD0000012,5,PROD00148,2,792.16,0.0,1584.32
LINE00000038,ORD0000013,1,PROD00065,3,945.33,0.0,2835.99
LINE00000039,ORD0000013,2,PROD00211,6,133.77,0.0,802.62
LINE00000040,ORD0000013,3,PROD00001,2,684.96,136.99,1232.93
LINE00000041,ORD0000013,4,PROD00052,3,976.9,0.0,2930.7
LINE00000042,ORD0000014,1,PROD00356,3,314.02,47.1,894.96
LINE00000043,ORD0000014,2,PROD00035,3,584.56,175.37,1578.31
LINE00000044,ORD0000014,3,PROD00163,3,888.4,0.0,2665.2
LINE00000045,ORD0000015,1,PROD00274,6,1065.42,639.25,5753.27
LINE00000046,ORD0000015,2,PROD00195,6,957.67,0.0,5746.02
LINE00000047,ORD0000016,1,PROD00118,1,1062.31,106.23,956.08
LINE00000048,ORD0000016,2,PROD00244,1,303.75,0.0,303.75
LINE00000049,ORD0000016,3,PROD00122,5,356.03,0.0,1780.15
LINE00000050,ORD0000017,1,PROD00360,1,272.45,13.62,258.83
LINE00000051,ORD0000017,2,PROD00175,5,742.86,185.72,3528.58
LINE00000052,ORD0000017,3,PROD00110,3,634.69,190.41,1713.66
LINE00000053,ORD0000017,4,PROD00384,4,584.45,0.0,2337.8
LINE00000054,ORD0000017,5,PROD00129,4,886.69,0.0,3546.76
LINE00000055,ORD0000018,1,PROD00163,2,312.58,0.0,625.16
LINE00000056,ORD0000018,2,PROD00347,1,861.31,86.13,775.18
LINE00000057,ORD0000019,1,PROD00148,3,909.94,0.0,2729.82
LINE00000058,ORD0000019,2,PROD00500,4,169.25,0.0,677.0
LINE00000059,ORD0000020,1,PROD00468,2,57.06,0.0,114.12
LINE00000060,ORD0000020,2,PROD00111,1,721.04,0.0,721.04
LINE00000061,ORD0000020,3,PROD00027,4,63.91,51.13,204.51
LINE00000062,ORD0000020,4,PROD00306,4,287.27,0.0,1149.08
LINE00000063,ORD0000021,1,PROD00463,5,798.53,399.26,3593.39
LINE00000064,ORD0000021,2,PROD00116,4,1125.92,0.0,4503.68
LINE00000065,ORD0000021,3,PROD00272,3,195.36,0.0,586.08
LINE00000066,ORD0000021,4,PROD00496,3,1099.7,0.0,3299.1
LINE00000067,ORD0000021,5,PROD00350,6,554.75,0.0,3328.5
LINE00000068,ORD0000022,1,PROD00082,2,1163.36,0.0,2326.72
LINE00000069,ORD0000022,2,PROD00410,1,635.3,0.0,635.3
LINE00000070,ORD0000022,3,PROD00032,3,1055.43,633.26,2533.03
LINE00000071,ORD0000022,4,PROD00289,5,630.37,315.19,2836.66
LINE00000072,ORD0000022,5,PROD00499,6,828.44,497.06,4473.58
LINE00000073,ORD0000023,1,PROD00410,5,151.35,0.0,756.75
LINE00000074,ORD0000024,1,PROD00062,5,327.97,163.99,1475.86
LINE00000075,ORD0000024,2,PROD00287,4,982.39,785.91,3143.65
LINE00000076,ORD0000024,3,PROD00002,2,345.94,138.38,553.5
LINE00000077,ORD0000024,4,PROD00337,4,309.97,0.0,1239.88
LINE00000078,ORD0000024,5,PROD00174,5,895.52,0.0,4477.6
LINE00000079,ORD0000025,1,PROD00289,3,238.58,0.0,715.74
LINE00000080,ORD0000025,2,PROD00394,6,547.22,0.0,3283.32
LINE00000081,ORD0000026,1,PROD00139,4,157.5,0.0,630.0
LINE00000082,ORD0000026,2,PROD00346,1,995.24,99.52,895.72
LINE00000083,ORD0000026,3,PROD00142,2,226.37,0.0,452.74
LINE00000084,ORD0000026,4,PROD00444,2,994.41,0.0,1988.82
LINE00000085,ORD0000026,5,PROD00349,1,737.43,0.0,737.43
LINE00000086,ORD0000027,1,PROD00114,2,138.35,0.0,276.7
LINE00000087,ORD0000027,2,PROD00002,2,355.6,0.0,711.2
LINE00000088,ORD0000027,3,PROD00255,6,621.35,745.62,2982.48
LINE00000089,ORD0000027,4,PROD00258,2,370.41,37.04,703.78
LINE00000090,ORD0000028,1,PROD00061,5,885.4,221.35,4205.65
LINE00000091,ORD0000028,2,PROD00188,2,104.86,0.0,209.72
LINE00000092,ORD0000029,1,PROD00222,5,974.36,487.18,4384.62
LINE00000093,ORD0000029,2,PROD00076,5,1181.68,0.0,5908.4
LINE00000094,ORD0000029,3,PROD00258,3,1022.44,306.73,2760.59
LINE00000095,ORD0000029,4,PROD00144,6,219.1,0.0,1314.6
LINE00000096,ORD0000030,1,PROD00020,6,750.07,0.0,4500.42
LINE00000097,ORD0000030,2,PROD00322,4,463.76,185.5,1669.54
LINE00000098,ORD0000030,3,PROD00108,1,430.02,43.0,387.02
LINE00000099,ORD0000031,1,PROD00238,1,1121.11,112.11,1009.0
LINE00000100,ORD0000032,1,PROD00219,5,693.63,0.0,3468.15
LINE00000101,ORD0000032,2,PROD00477,4,433.14,0.0,1732.56
LINE00000102,ORD0000032,3,PROD00027,1,1055.68,0.0,1055.68
LINE00000103,ORD0000032,4,PROD00385,3,334.87,0.0,1004.61
LINE00000104,ORD0000033,1,PROD00060,4,527.9,0.0,2111.6
LINE00000105,ORD0000033,2,PROD00050,6,1039.03,0.0,6234.18
LINE00000106,ORD0000034,1,PROD00189,2,410.71,41.07,780.35
LINE00000107,ORD0000034,2,PROD00010,1,34.28,0.0,34.28
LINE00000108,ORD0000034,3,PROD00385,2,466.19,46.62,885.76
LINE00000109,ORD0000034,4,PROD00123,5,421.83,0.0,2109.15
LINE00000110,ORD0000035,1,PROD00281,4,1192.5,0.0,4770.0
LINE00000111,ORD0000035,2,PROD00498,3,1029.85,154.48,2935.07
LINE00000112,ORD0000035,3,PROD00382,6,981.37,0.0,5888.22
LINE00000113,ORD0000035,4,PROD00258,6,658.41,0.0,3950.46
LINE00000114,ORD0000035,5,PROD00441,1,1039.61,0.0,1039.61
LINE00000115,ORD0000036,1,PROD00413,2,133.05,26.61,239.49
LINE00000116,ORD0000037,1,PROD00100,5,194.93,48.73,925.92
LINE00000117,ORD0000038,1,PROD00048,2,399.59,0.0,799.18
LINE00000118,ORD0000038,2,PROD00479,2,716.93,143.39,1290.47
LINE00000119,ORD0000038,3,PROD00489,1,894.0,0.0,894.0
LINE00000120,ORD0000038,4,PROD00195,6,108.29,0.0,649.74
LINE00000121,ORD0000039,1,PROD00019,2,531.59,0.0,1063.18
LINE00000122,ORD0000039,2,PROD00151,4,939.88,751.9,3007.62
LINE00000123,ORD0000040,1,PROD00180,6,1119.56,1343.47,5373.89
LINE00000124,ORD0000040,2,PROD00295,2,1037.21,0.0,2074.42
LINE00000125,ORD0000040,3,PROD00173,2,394.58,39.46,749.7
LINE00000126,ORD0000040,4,PROD00193,6,808.52,242.56,4608.56
LINE00000127,ORD0000040,5,PROD00309,2,975.04,97.5,1852.58
LINE00000128,ORD0000041,1,PROD00488,3,447.85,134.36,1209.19
LINE00000129,ORD0000042,1,PROD00182,2,464.93,0.0,929.86
LINE00000130,ORD0000043,1,PROD00226,2,1000.45,0.0,2000.9
LINE00000131,ORD0000043,2,PROD00224,2,1185.86,0.0,2371.72
LINE00000132,ORD0000043,3,PROD00382,4,545.02,109.0,2071.08
LINE00000133,ORD0000044,1,PROD00247,2,494.17,197.67,790.67
LINE00000134,ORD0000044,2,PROD00330,4,93.28,0.0,373.12
LINE00000135,ORD0000045,1,PROD00385,5,19.18,0.0,95.9
LINE00000136,ORD0000045,2,PROD00151,3,1127.93,0.0,3383.79
LINE00000137,ORD0000045,3,PROD00023,6,909.39,1091.27,4365.07
LINE00000138,ORD0000045,4,PROD00134,3,718.86,107.83,2048.75
LINE00000139,ORD0000046,1,PROD00273,3,350.32,52.55,998.41
LINE00000140,ORD0000046,2,PROD00247,1,453.65,0.0,453.65
LINE00000141,ORD0000047,1,PROD00475,5,1011.15,1011.15,4044.6
LINE00000142,ORD0000048,1,PROD00149,1,835.05,0.0,835.05
LINE00000143,ORD0000048,2,PROD00036,5,748.73,0.0,3743.65
LINE00000144,ORD0000048,3,PROD00179,1,516.7,0.0,516.7
LINE00000145,ORD0000048,4,PROD00455,4,1015.82,0.0,4063.28
LINE00000146,ORD0000049,1,PROD00050,5,447.77,0.0,2238.85
LINE00000147,ORD0000049,2,PROD00163,6,768.82,922.58,3690.34
LINE00000148,ORD0000049,3,PROD00003,3,975.07,0.0,2925.21
LINE00000149,ORD0000049,4,PROD00380,1,420.01,84.0,336.01
LINE00000150,ORD0000049,5,PROD00239,3,260.34,156.2,624.82
LINE00000151,ORD0000050,1,PROD00429,1,845.98,42.3,803.68
LINE00000152,ORD0000050,2,PROD00124,5,36.97,18.48,166.37
LINE00000153,ORD0000050,3,PROD00190,3,635.13,381.08,1524.31
LINE00000154,ORD0000050,4,PROD00486,3,1183.31,709.99,2839.94
LINE00000155,ORD0000050,5,PROD00135,2,515.45,0.0,1030.9
LINE00000156,ORD0000051,1,PROD00230,4,450.8,180.32,1622.88
LINE00000157,ORD0000051,2,PROD00248,5,680.36,680.36,2721.44
LINE00000158,ORD0000051,3,PROD00150,3,163.92,98.35,393.41
LINE00000159,ORD0000051,4,PROD00030,2,760.3,304.12,1216.48
LINE00000160,ORD0000051,5,PROD00110,6,923.54,0.0,5541.24
LINE00000161,ORD0000052,1,PROD00168,5,205.25,51.31,974.94
LINE00000162,ORD0000052,2,PROD00254,4,620.58,248.23,2234.09
LINE00000163,ORD0000052,3,PROD00414,6,635.96,0.0,3815.76
LINE00000164,ORD0000052,4,PROD00268,6,1068.35,320.5,6089.6
LINE00000165,ORD0000053,1,PROD00120,4,1112.06,0.0,4448.24
LINE00000166,ORD0000053,2,PROD00171,1,912.45,0.0,912.45
LINE00000167,ORD0000053,3,PROD00494,5,11.82,2.96,56.14
LINE00000168,ORD0000053,4,PROD00134,4,629.31,251.72,2265.52
LINE00000169,ORD0000054,1,PROD00463,1,133.49,13.35,120.14
LINE00000170,ORD0000054,2,PROD00412,2,816.79,0.0,1633.58
LINE00000171,ORD0000054,3,PROD00331,3,498.21,0.0,1494.63
LINE00000172,ORD0000055,1,PROD00173,5,714.13,178.53,3392.12
LINE00000173,ORD0000055,2,PROD00011,2,263.55,0.0,527.1
LINE00000174,ORD0000055,3,PROD00408,1,870.01,174.0,696.01
LINE00000175,ORD0000055,4,PROD00445,5,1153.8,0.0,5769.0
LINE00000176,ORD0000055,5,PROD00163,5,770.55,0.0,3852.75
LINE00000177,ORD0000056,1,PROD00232,5,1017.47,0.0,5087.35
LINE00000178,ORD0000057,1,PROD00022,3,248.67,0.0,746.01
LINE00000179,ORD0000058,1,PROD00114,6,298.59,0.0,1791.54
LINE00000180,ORD0000058,2,PROD00148,6,759.29,0.0,4555.74
LINE00000181,ORD0000058,3,PROD00405,3,969.36,0.0,2908.08
LINE00000182,ORD0000058,4,PROD00081,1,748.02,37.4,710.62
LINE00000183,ORD0000058,5,PROD00148,6,679.45,815.34,3261.36
LINE00000184,ORD0000059,1,PROD00253,6,73.52,22.06,419.06
LINE00000185,ORD0000060,1,PROD00291,5,1143.79,285.95,5433.0
LINE00000186,ORD0000060,2,PROD00374,6,270.45,324.54,1298.16
LINE00000187,ORD0000060,3,PROD00137,6,631.55,378.93,3410.37
LINE00000188,ORD0000061,1,PROD00040,1,1152.54,57.63,1094.91
LINE00000189,ORD0000062,1,PROD00249,1,901.75,180.35,721.4
LINE00000190,ORD0000062,2,PROD00271,1,744.84,0.0,744.84
LINE00000191,ORD0000063,1,PROD00030,4,1001.04,400.42,3603.74
LINE00000192,ORD0000063,2,PROD00120,5,560.99,560.99,2243.96
LINE00000193,ORD0000063,3,PROD00055,4,263.29,210.63,842.53
LINE00000194,ORD0000064,1,PROD00177,5,954.61,238.65,4534.4
LINE00000195,ORD0000064,2,PROD00212,5,207.42,0.0,1037.1
LINE00000196,ORD0000064,3,PROD00497,1,105.78,0.0,105.78
LINE00000197,ORD0000064,4,PROD00418,4,766.53,613.22,2452.9
LINE00000198,ORD0000065,1,PROD00305,4,354.01,0.0,1416.04
LINE00000199,ORD0000065,2,PROD00263,6,557.03,0.0,3342.18
LINE00000200,ORD0000065,3,PROD00346,2,163.06,65.22,260.9
LINE00000201,ORD0000065,4,PROD00381,6,940.08,282.02,5358.46
LINE00000202,ORD0000066,1,PROD00002,5,15.38,0.0,76.9
LINE00000203,ORD0000067,1,PROD00021,3,944.8,141.72,2692.68
LINE00000204,ORD0000067,2,PROD00052,1,602.05,0.0,602.05
LINE00000205,ORD0000067,3,PROD00068,1,1103.46,0.0,1103.46
LINE00000206,ORD0000067,4,PROD00203,6,144.48,173.38,693.5
LINE00000207,ORD0000067,5,PROD00022,5,995.38,497.69,4479.21
LINE00000208,ORD0000068,1,PROD00063,1,1014.62,0.0,1014.62
LINE00000209,ORD0000068,2,PROD00466,1,914.84,91.48,823.36
LINE00000210,ORD0000068,3,PROD00101,1,882.06,88.21,793.85
LINE00000211,ORD0000069,1,PROD00401,6,707.69,0.0,4246.14
LINE00000212,ORD0000069,2,PROD00316,4,1099.49,219.9,4178.06
LINE00000213,ORD0000069,3,PROD00021,5,1081.69,0.0,5408.45
LINE00000214,ORD0000070,1,PROD00042,3,738.58,0.0,2215.74
LINE00000215,ORD0000071,1,PROD00077,2,1003.96,200.79,1807.13
LINE00000216,ORD0000071,2,PROD00291,6,186.41,0.0,1118.46
LINE00000217,ORD0000071,3,PROD00467,4,312.46,0.0,1249.84
LINE00000218,ORD0000071,4,PROD00324,5,1124.59,562.29,5060.66
LINE00000219,ORD0000072,1,PROD00056,1,522.0,0.0,522.0
LINE00000220,ORD0000072,2,PROD00011,1,1078.4,53.92,1024.48
LINE00000221,ORD0000072,3,PROD00438,2,976.23,0.0,1952.46
LINE00000222,ORD0000072,4,PROD00200,3,945.1,283.53,2551.77
LINE00000223,ORD0000073,1,PROD00362,3,48.06,0.0,144.18
LINE00000224,ORD0000073,2,PROD00462,3,1108.64,0.0,3325.92
LINE00000225,ORD0000073,3,PROD00340,6,104.94,62.96,566.68
LINE00000226,ORD0000074,1,PROD00326,3,1001.43,0.0,3004.29
LINE00000227,ORD0000074,2,PROD00239,5,65.23,65.23,260.92
LINE00000228,ORD0000075,1,PROD00002,5,1005.36,0.0,5026.8
LINE00000229,ORD0000075,2,PROD00334,2,356.81,0.0,713.62
LINE00000230,ORD0000075,3,PROD00495,2,505.62,0.0,1011.24
LINE00000231,ORD0000076,1,PROD00238,2,276.44,110.58,442.3
LINE00000232,ORD0000076,2,PROD00227,6,387.81,232.69,2094.17
LINE00000233,ORD0000076,3,PROD00493,4,1131.91,905.53,3622.11
LINE00000234,ORD0000077,1,PROD00206,2,7.85,0.0,15.7
LINE00000235,ORD0000077,2,PROD00411,1,829.8,82.98,746.82
LINE00000236,ORD0000078,1,PROD00213,1,285.95,28.59,257.36
LINE00000237,ORD0000078,2,PROD00403,4,513.25,410.6,1642.4
LINE00000238,ORD0000079,1,PROD00092,3,372.13,0.0,1116.39
LINE00000239,ORD0000079,2,PROD00006,5,895.94,447.97,4031.73
LINE00000240,ORD0000079,3,PROD00032,4,1094.86,437.94,3941.5
LINE00000241,ORD0000079,4,PROD00314,1,1105.8,0.0,1105.8
LINE00000242,ORD0000080,1,PROD00469,2,42.39,8.48,76.3
LINE00000243,ORD0000080,2,PROD00388,4,503.82,100.76,1914.52
LINE00000244,ORD0000080,3,PROD00017,4,213.69,42.74,812.02
LINE00000245,ORD0000080,4,PROD00312,6,192.21,230.65,922.61
LINE00000246,ORD0000081,1,PROD00307,6,377.7,226.62,2039.58
LINE00000247,ORD0000081,2,PROD00022,1,1088.78,217.76,871.02
LINE00000248,ORD0000081,3,PROD00063,3,951.45,142.72,2711.63
LINE00000249,ORD0000081,4,PROD00168,4,360.88,144.35,1299.17
LINE00000250,ORD0000082,1,PROD00376,3,767.35,0.0,2302.05
LINE00000251,ORD0000082,2,PROD00240,3,1091.6,0.0,3274.8
LINE00000252,ORD0000082,3,PROD00126,4,861.77,0.0,3447.08
LINE00000253,ORD0000083,1,PROD00086,1,416.76,0.0,416.76
LINE00000254,ORD0000083,2,PROD00109,4,604.87,241.95,2177.53
LINE00000255,ORD0000083,3,PROD00466,6,1011.58,606.95,5462.53
LINE00000256,ORD0000083,4,PROD00480,4,924.85,0.0,3699.4
LINE00000257,ORD0000084,1,PROD00492,4,922.18,184.44,3504.28
LINE00000258,ORD0000084,2,PROD00274,3,312.19,187.31,749.26
LINE00000259,ORD0000085,1,PROD00394,2,602.05,0.0,1204.1
LINE00000260,ORD0000085,2,PROD00220,5,925.68,0.0,4628.4
LINE00000261,ORD0000085,3,PROD00141,6,369.9,443.88,1775.52
LINE00000262,ORD0000086,1,PROD00369,2,1071.22,0.0,2142.44
LINE00000263,ORD0000087,1,PROD00120,2,773.62,0.0,1547.24
LINE00000264,ORD0000088,1,PROD00151,4,395.0,158.0,1422.0
LINE00000265,ORD0000088,2,PROD00284,3,1079.45,0.0,3238.35
LINE00000266,ORD0000088,3,PROD00070,5,210.78,0.0,1053.9
LINE00000267,ORD0000088,4,PROD00371,2,370.26,0.0,740.52
LINE00000268,ORD0000089,1,PROD00264,2,422.19,42.22,802.16
LINE00000269,ORD0000089,2,PROD00307,2,1183.09,236.62,2129.56
LINE00000270,ORD0000090,1,PROD00189,3,925.59,555.35,2221.42
LINE00000271,ORD0000090,2,PROD00077,3,727.73,436.64,1746.55
LINE00000272,ORD0000090,3,PROD00431,6,11.33,0.0,67.98
LINE00000273,ORD0000090,4,PROD00058,6,739.62,0.0,4437.72
LINE00000274,ORD0000091,1,PROD00328,2,972.32,97.23,1847.41
LINE00000275,ORD0000091,2,PROD00040,4,92.5,37.0,333.0
LINE00000276,ORD0000092,1,PROD00051,6,551.03,0.0,3306.18
LINE00000277,ORD0000092,2,PROD00474,3,1052.59,0.0,3157.77
LINE00000278,ORD0000092,3,PROD00056,1,430.58,43.06,387.52
LINE00000279,ORD0000093,1,PROD00125,2,258.18,0.0,516.36
LINE00000280,ORD0000093,2,PROD00038,5,331.63,165.82,1492.33
LINE00000281,ORD0000093,3,PROD00449,1,433.04,21.65,411.39
LINE00000282,ORD0000093,4,PROD00020,6,1103.75,0.0,6622.5
LINE00000283,ORD0000094,1,PROD00230,1,454.77,45.48,409.29
LINE00000284,ORD0000094,2,PROD00455,6,440.33,0.0,2641.98
LINE00000285,ORD0000094,3,PROD00386,4,985.23,394.09,3546.83
LINE00000286,ORD0000094,4,PROD00033,2,149.32,0.0,298.64
LINE00000287,ORD0000094,5,PROD00286,1,788.37,78.84,709.53
LINE00000288,ORD0000095,1,PROD00438,1,41.36,4.14,37.22
LINE00000289,ORD0000096,1,PROD00072,3,269.05,0.0,807.15
LINE00000290,ORD0000096,2,PROD00385,4,588.31,0.0,2353.24
LINE00000291,ORD0000096,3,PROD00204,1,814.42,0.0,814.42
LINE00000292,ORD0000097,1,PROD00212,3,179.51,107.71,430.82
LINE00000293,ORD0000097,2,PROD00428,6,230.49,0.0,1382.94
LINE00000294,ORD0000097,3,PROD00443,6,633.74,190.12,3612.32
LINE00000295,ORD0000097,4,PROD00415,2,1121.42,112.14,2130.7
LINE00000296,ORD0000097,5,PROD00356,4,503.53,0.0,2014.12
LINE00000297,ORD0000098,1,PROD00383,1,374.73,0.0,374.73
LINE00000298,ORD0000099,1,PROD00258,4,410.95,164.38,1479.42
LINE00000299,ORD0000100,1,PROD00436,1,335.2,0.0,335.2
LINE00000300,ORD0000100,2,PROD00069,2,521.09,0.0,1042.18
LINE00000301,ORD0000100,3,PROD00344,5,268.79,67.2,1276.75
LINE00000302,ORD0000100,4,PROD00145,3,877.99,0.0,2633.97
LINE00000303,ORD0000101,1,PROD00260,5,881.77,881.77,3527.08
LINE00000304,ORD0000101,2,PROD00154,6,80.57,24.17,459.25
LINE00000305,ORD0000102,1,PROD00427,6,650.56,390.34,3513.02
LINE00000306,ORD0000102,2,PROD00183,3,1090.39,0.0,3271.17
LINE00000307,ORD0000103,1,PROD00127,3,789.69,0.0,2369.07
LINE00000308,ORD0000103,2,PROD00251,5,949.64,0.0,4748.2
LINE00000309,ORD0000103,3,PROD00486,3,164.63,49.39,444.5
LINE00000310,ORD0000103,4,PROD00334,5,583.77,0.0,2918.85
LINE00000311,ORD0000103,5,PROD00235,3,403.81,121.14,1090.29
LINE00000312,ORD0000104,1,PROD00092,5,1131.42,565.71,5091.39
LINE00000313,ORD0000104,2,PROD00175,2,1111.29,0.0,2222.58
LINE00000314,ORD0000104,3,PROD00373,3,831.86,0.0,2495.58
LINE00000315,ORD0000104,4,PROD00063,6,1125.62,0.0,6753.72
LINE00000316,ORD0000104,5,PROD00326,1,16.26,0.0,16.26
LINE00000317,ORD0000105,1,PROD00390,5,482.35,0.0,2411.75
LINE00000318,ORD0000105,2,PROD00410,4,537.4,0.0,2149.6
LINE00000319,ORD0000105,3,PROD00379,3,449.26,134.78,1213.0
LINE00000320,ORD0000105,4,PROD00226,6,42.46,0.0,254.76
LINE00000321,ORD0000105,5,PROD00197,6,745.84,223.75,4251.29
LINE00000322,ORD0000106,1,PROD00435,6,520.18,0.0,3121.08
LINE00000323,ORD0000106,2,PROD00411,2,288.11,0.0,576.22
LINE00000324,ORD0000107,1,PROD00382,6,1002.87,0.0,6017.22
LINE00000325,ORD0000107,2,PROD00336,6,756.46,0.0,4538.76
LINE00000326,ORD0000108,1,PROD00305,6,424.74,0.0,2548.44
LINE00000327,ORD0000108,2,PROD00444,3,1033.48,0.0,3100.44
LINE00000328,ORD0000108,3,PROD00106,6,446.23,535.48,2141.9
LINE00000329,ORD0000109,1,PROD00055,4,803.49,0.0,3213.96
LINE00000330,ORD0000109,2,PROD00160,2,981.48,0.0,1962.96
LINE00000331,ORD0000109,3,PROD00414,3,639.35,95.9,1822.15
LINE00000332,ORD0000109,4,PROD00378,1,152.0,0.0,152.0
LINE00000333,ORD0000110,1,PROD00252,1,536.67,0.0,536.67
LINE00000334,ORD0000111,1,PROD00101,6,251.46,150.88,1357.88
LINE00000335,ORD0000111,2,PROD00427,4,174.77,0.0,699.08
LINE00000336,ORD0000112,1,PROD00045,6,215.75,0.0,1294.5
LINE00000337,ORD0000112,2,PROD00160,3,517.34,0.0,1552.02
LINE00000338,ORD0000112,3,PROD00244,2,666.07,133.21,1198.93
LINE00000339,ORD0000112,4,PROD00119,1,551.84,0.0,551.84
LINE00000340,ORD0000112,5,PROD00111,3,1141.35,342.4,3081.65
LINE00000341,ORD0000113,1,PROD00300,6,804.51,965.41,3861.65
LINE00000342,ORD0000113,2,PROD00402,1,1096.02,0.0,1096.02
LINE00000343,ORD0000113,3,PROD00170,3,648.53,0.0,1945.59
LINE00000344,ORD0000114,1,PROD00110,2,867.29,86.73,1647.85
LINE00000345,ORD0000114,2,PROD00102,5,512.31,0.0,2561.55
LINE00000346,ORD0000114,3,PROD00221,6,935.6,0.0,5613.6
LINE00000347,ORD0000114,4,PROD00330,1,921.86,0.0,921.86
LINE00000348,ORD0000115,1,PROD00216,5,173.73,86.87,781.78
LINE00000349,ORD0000115,2,PROD00361,6,642.57,771.08,3084.34
LINE00000350,ORD0000115,3,PROD00342,4,672.23,0.0,2688.92
LINE00000351,ORD0000115,4,PROD00053,6,569.18,0.0,3415.08
LINE00000352,ORD0000115,5,PROD00226,3,270.57,162.34,649.37
LINE00000353,ORD0000116,1,PROD00441,1,833.14,41.66,791.48
LINE00000354,ORD0000116,2,PROD00424,6,1134.09,0.0,6804.54
LINE00000355,ORD0000117,1,PROD00351,4,741.07,0.0,2964.28
LINE00000356,ORD0000117,2,PROD00280,6,158.48,190.18,760.7
LINE00000357,ORD0000117,3,PROD00203,3,1159.14,695.48,2781.94
LINE00000358,ORD0000117,4,PROD00150,5,398.91,0.0,1994.55
LINE00000359,ORD0000118,1,PROD00122,4,346.33,138.53,1246.79
LINE00000360,ORD0000119,1,PROD00045,1,920.2,0.0,920.2
LINE00000361,ORD0000119,2,PROD00363,3,460.92,276.55,1106.21
LINE00000362,ORD0000120,1,PROD00088,3,378.05,0.0,1134.15
LINE00000363,ORD0000120,2,PROD00051,4,899.48,0.0,3597.92
LINE00000364,ORD0000120,3,PROD00355,5,54.34,54.34,217.36
LINE00000365,ORD0000120,4,PROD00126,6,943.03,1131.64,4526.54
LINE00000366,ORD0000120,5,PROD00351,4,303.54,0.0,1214.16
LINE00000367,ORD0000121,1,PROD00444,6,151.27,0.0,907.62
LINE00000368,ORD0000121,2,PROD00046,2,177.81,71.12,284.5
LINE00000369,ORD0000121,3,PROD00048,4,983.89,196.78,3738.78
LINE00000370,ORD0000122,1,PROD00377,6,1074.55,322.37,6124.93
LINE00000371,ORD0000122,2,PROD00489,2,960.41,192.08,1728.74
LINE00000372,ORD0000123,1,PROD00262,1,779.34,0.0,779.34
LINE00000373,ORD0000123,2,PROD00158,3,819.53,0.0,2458.59
LINE00000374,ORD0000123,3,PROD00331,2,40.44,4.04,76.84
LINE00000375,ORD0000123,4,PROD00391,3,940.16,564.1,2256.38
LINE00000376,ORD0000124,1,PROD00063,6,588.94,0.0,3533.64
LINE00000377,ORD0000124,2,PROD00421,6,1066.93,320.08,6081.5
