store_id,store_name,format,city,state,floor_area_sqm,opened_date,status
STOR0031,Newcastle Central,STANDARD,Newcastle,NSW,5049.0,2018-03-08,OPEN
STOR0032,Melbourne Outlet,DARK_STORE,Melbourne,VIC,6117.0,2025-01-07,REFURB
STOR0033,Darwin Outlet,STANDARD,Darwin,NT,4566.0,2024-08-28,REFURB
STOR0034,Darwin North,DARK_STORE,Darwin,NT,3672.0,2021-10-29,OPEN
STOR0035,Gold Coast Outlet,STANDARD,Gold Coast,QLD,6275.0,2022-02-22,OPEN
STOR0036,Hobart Outlet,FLAGSHIP,Hobart,TAS,3034.0,2021-02-24,REFURB
STOR0037,Canberra Outlet,STANDARD,Canberra,ACT,6424.0,2019-03-11,OPEN
STOR0038,Canberra East,DARK_STORE,Canberra,ACT,3210.0,2022-11-10,REFURB
STOR0039,Hobart South,EXPRESS,Hobart,TAS,4459.0,2019-04-13,OPEN
STOR0040,Perth North,STANDARD,Perth,WA,3867.0,2025-12-19,OPEN
STOR0041,Darwin West,DARK_STORE,Darwin,NT,2686.0,2021-03-25,OPEN
STOR0042,Darwin Central,DARK_STORE,Darwin,NT,2232.0,2024-10-12,OPEN
STOR0043,Perth South,STANDARD,Perth,WA,4424.0,2023-08-04,REFURB
STOR0044,Melbourne Outlet,STANDARD,Melbourne,VIC,2754.0,2025-04-08,OPEN
STOR0045,Gold Coast East,STANDARD,Gold Coast,QLD,1319.0,2021-05-03,OPEN
STOR0046,Darwin South,FLAGSHIP,Darwin,NT,4525.0,2018-07-09,OPEN
STOR0047,Melbourne South,FLAGSHIP,Melbourne,VIC,2311.0,2021-10-15,OPEN
STOR0048,Perth South,FLAGSHIP,Perth,WA,2614.0,2021-04-29,REFURB
STOR0049,Darwin South,STANDARD,Darwin,NT,2167.0,2018-12-04,OPEN
STOR0050,Brisbane East,FLAGSHIP,Brisbane,QLD,3647.0,2024-09-20,REFURB
STOR0051,Wollongong South,STANDARD,Wollongong,NSW,6354.0,2025-03-26,REFURB
STOR0052,Sydney Central,STANDARD,Sydney,NSW,5769.0,2023-02-02,OPEN
STOR0053,Melbourne West,EXPRESS,Melbourne,VIC,6079.0,2024-05-06,REFURB
STOR0054,Melbourne East,EXPRESS,Melbourne,VIC,5802.0,2018-09-28,OPEN
STOR0055,Brisbane West,EXPRESS,Brisbane,QLD,4532.0,2019-06-19,OPEN
STOR0056,Gold Coast South,EXPRESS,Gold Coast,QLD,4740.0,2018-09-20,REFURB
STOR0057,Melbourne West,DARK_STORE,Melbourne,VIC,6449.0,2021-11-18,OPEN
STOR0058,Geelong Central,DARK_STORE,Geelong,VIC,2343.0,2019-08-29,OPEN
STOR0059,Wollongong South,EXPRESS,Wollongong,NSW,3138.0,2022-08-23,OPEN
STOR0060,Wollongong Outlet,DARK_STORE,Wollongong,NSW,4422.0,2021-07-09,OPEN
